geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1046,-23.54608113,-46.6448203,sao paulo,SP
1047,-23.54677477,-46.64251431,são paulo,SP
1045,-23.542925,-46.64342395,sao paulo,SP
1014,-23.54708227,-46.63340844,sao paulo,SP
1048,-23.54744892,-46.64016924,são paulo,SP
1046,-23.54532012,-46.64406863,sao paulo,SP
1002,-23.54831798,-46.6354211,sao paulo,SP
1033,-23.53615608,-46.63565006,sao paulo,SP
1048,-23.54705213,-46.63947796,sao paulo,SP
1014,-23.54645334,-46.63394723,sao paulo,SP
1031,-23.53686412,-46.63349314,sao paulo,SP
1029,-23.5413057,-46.63285262,sao paulo,SP
1050,-23.54985418,-46.6431394,sao paulo,SP
1032,-23.54077469,-46.63551484,sao paulo,SP
1031,-23.53730432,-46.63386244,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1022,-23.54498661,-46.63345367,sao paulo,SP
1008,-23.54425493,-46.63463914,sao paulo,SP
1009,-23.54634051,-46.6362385,sao paulo,SP
1048,-23.54744892,-46.64016924,são paulo,SP
1010,-23.54780696,-46.63612182,sao paulo,SP
1020,-23.55253336,-46.62960898,sao paulo,SP
1036,-23.54170002,-46.64131782,sao paulo,SP
1003,-23.54903245,-46.63531311,sao paulo,SP
1013,-23.54732513,-46.63418379,sao paulo,SP
1045,-23.54230307,-46.64280269,sao paulo,SP
1013,-23.54768632,-46.63413977,são paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1046,-23.54612897,-46.64295148,sao paulo,SP
1042,-23.54466737,-46.64066943,são paulo,SP
1009,-23.54634051,-46.6362385,sao paulo,SP
1050,-23.54910733,-46.6441046,são paulo,SP
1001,-23.549292,-46.63355948,sao paulo,SP
1026,-23.53984025,-46.63026399,sao paulo,SP
1014,-23.54631892,-46.63343056,sao paulo,SP
1009,-23.54634051,-46.6362385,sao paulo,SP
1043,-23.54501366,-46.64199302,sao paulo,SP
1050,-23.54910733,-46.6441046,são paulo,SP
1014,-23.54694058,-46.63331192,sao paulo,SP
1047,-23.54627311,-46.64122517,sao paulo,SP
1032,-23.53701971,-46.63435857,sao paulo,SP
1050,-23.55044921,-46.64324289,sao paulo,SP
1017,-23.54885183,-46.63120715,sao paulo,SP
1015,-23.54482635,-46.63086956,sao paulo,SP
1032,-23.53701971,-46.63435857,sao paulo,SP
1039,-23.5406862,-46.63829645,sao paulo,SP
1008,-23.54534149,-46.63558669,sao paulo,SP
1005,-23.54981909,-46.63560589,sao paulo,SP
1046,-23.54625296,-46.64521736,sao paulo,SP
1026,-23.53984025,-46.63026399,sao paulo,SP
1045,-23.542925,-46.64342395,sao paulo,SP
1024,-23.54186295,-46.63003529,sao paulo,SP
1031,-23.54252079,-46.63533516,sao paulo,SP
1014,-23.54676159,-46.63345485,sao paulo,SP
1038,-23.54267968,-46.63819684,sao paulo,SP
1050,-23.55073675,-46.64337117,sao paulo,SP
1016,-23.54849513,-46.63349063,sao paulo,SP
1049,-23.54530659,-46.63699457,sao paulo,SP
1026,-23.5394395,-46.63306387,sao paulo,SP
1016,-23.54928367,-46.6314849,sao paulo,SP
1010,-23.54685136,-46.63554539,sao paulo,SP
1029,-23.53731362,-46.63302995,são paulo,SP
1021,-23.54516769,-46.63224868,sao paulo,SP
1018,-23.55021865,-46.63188,sao paulo,SP
1014,-23.54533829,-46.63358225,sao paulo,SP
1044,-23.54575105,-46.64132694,sao paulo,SP
1034,-23.543343,-46.63777725,sao paulo,SP
1049,-23.54744137,-46.63887209,sao paulo,SP
1014,-23.54721572,-46.63338619,sao paulo,SP
1050,-23.54985418,-46.6431394,sao paulo,SP
1043,-23.54473464,-46.64252349,sao paulo,SP
1020,-23.55249553,-46.63206,são paulo,SP
1046,-23.54531792,-46.6439748,sao paulo,SP
1050,-23.54880166,-46.64237337,são paulo,SP
1035,-23.5404397,-46.64371578,sao paulo,SP
1036,-23.54131144,-46.64188583,sao paulo,SP
1046,-23.54536858,-46.64318283,sao paulo,SP
1046,-23.54675842,-46.64577103,são paulo,SP
1048,-23.54715406,-46.63954789,sao paulo,SP
1035,-23.54394733,-46.6373965,sao paulo,SP
1046,-23.54639669,-46.64305934,sao paulo,SP
1044,-23.54489638,-46.64201998,são paulo,SP
1045,-23.54275398,-46.64148203,sao paulo,SP
1045,-23.54230307,-46.64280269,sao paulo,SP
1049,-23.54530659,-46.63699457,sao paulo,SP
1019,-23.55188848,-46.63008934,sao paulo,SP
1036,-23.54017643,-46.64415914,sao paulo,SP
1043,-23.54473464,-46.64252349,são paulo,SP
1040,-23.54011171,-46.63701681,sao paulo,SP
1048,-23.54705213,-46.63947796,sao paulo,SP
1020,-23.55249951,-46.63078103,sao paulo,SP
1042,-23.5447206,-46.64051557,sao paulo,SP
1050,-23.54880166,-46.64237337,sao paulo,SP
1033,-23.53695825,-46.63581028,sao paulo,SP
1050,-23.54985418,-46.6431394,sao paulo,SP
1024,-23.54138952,-46.62989909,sao paulo,SP
1007,-23.54961074,-46.63835065,sao paulo,SP
1021,-23.54102681,-46.63207068,sao paulo,SP
1050,-23.54885719,-46.64186497,sao paulo,SP
1044,-23.545627,-46.64140988,sao paulo,SP
1013,-23.54730787,-46.63425128,sao paulo,SP
1014,-23.54594895,-46.6335015,são paulo,SP
1037,-23.54388307,-46.63807493,são paulo,SP
1026,-23.53916761,-46.63524162,sao paulo,SP
1007,-23.54833928,-46.63800654,sao paulo,SP
1032,-23.54050566,-46.63541487,sao paulo,SP
1046,-23.54504786,-46.64317277,sao paulo,SP
1035,-23.5404397,-46.64371578,sao paulo,SP
1022,-23.54449763,-46.63146175,sao paulo,SP
1030,-23.5383639,-46.6329301,são paulo,SP
1046,-23.54516589,-46.6437858,sao paulo,SP
1037,-23.54615657,-46.63988527,sao paulo,SP
1003,-23.54890065,-46.63715701,sao paulo,SP
1032,-23.54185361,-46.63513728,sao paulo,SP
1042,-23.54466737,-46.64066943,sao paulo,SP
1019,-23.55173348,-46.63030271,são paulo,SP
1008,-23.54545047,-46.63565674,sao paulo,SP
1003,-23.54904445,-46.63518261,sao paulo,SP
1005,-23.5494715,-46.63740388,sao paulo,SP
1046,-23.54535489,-46.64401432,sao paulo,SP
1042,-23.5447206,-46.64051557,sao paulo,SP
1050,-23.54848763,-46.64068659,sao paulo,SP
1047,-23.54556122,-46.64033874,sao paulo,SP
1050,-23.55073675,-46.64337117,sao paulo,SP
1017,-23.55015993,-46.6314654,sao paulo,SP
1020,-23.55249553,-46.63206,sao paulo,SP
1005,-23.54875839,-46.63841095,sao paulo,SP
1050,-23.54874766,-46.64239137,sao paulo,SP
1012,-23.54701177,-46.63482873,sao paulo,SP
1030,-23.5383993,-46.63288761,sao paulo,SP
1012,-23.54895781,-46.63455516,sao paulo,SP
1013,-23.546421,-46.63436151,sao paulo,SP
1046,-23.54504786,-46.64317277,sao paulo,SP
1046,-23.54681742,-46.64538,sao paulo,SP
1016,-23.54944327,-46.6323497,são paulo,SP
1035,-23.54020456,-46.64414706,sao paulo,SP
1050,-23.54872317,-46.641603,sao paulo,SP
1026,-23.53916761,-46.63524162,sao paulo,SP
1006,-23.55025925,-46.63635994,sao paulo,SP
1001,-23.55049771,-46.63433818,sao paulo,SP
1048,-23.5465371,-46.63917497,sao paulo,SP
1020,-23.55185432,-46.62920012,sao paulo,SP
1047,-23.54731074,-46.64142303,sao paulo,SP
1033,-23.54295,-46.6353,sao paulo,SP
1032,-23.53984188,-46.63514798,são paulo,SP
1033,-23.54079672,-46.63647343,sao paulo,SP
1020,-23.55223547,-46.62844066,sao paulo,SP
1002,-23.54741686,-46.63636125,sao paulo,SP
1050,-23.54918735,-46.6441946,são paulo,SP
1009,-23.54634051,-46.6362385,são paulo,SP
1019,-23.55188991,-46.63105319,sao paulo,SP
1027,-23.5380152,-46.63194741,são paulo,SP
1048,-23.54690813,-46.6393959,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1034,-23.54299556,-46.63757567,sao paulo,SP
1035,-23.54394733,-46.6373965,sao paulo,SP
1050,-23.54985418,-46.6431394,sao paulo,SP
1047,-23.54731074,-46.64142303,sao paulo,SP
1046,-23.54638197,-46.64289371,sao paulo,SP
1045,-23.54248736,-46.64293487,sao paulo,SP
1045,-23.54230307,-46.64280269,sao paulo,SP
1011,-23.54669049,-46.63544696,sao paulo,SP
1044,-23.54727688,-46.63992378,sao paulo,SP
1007,-23.55100662,-46.63587188,sao paulo,SP
1047,-23.5457782,-46.64064024,sao paulo,SP
1029,-23.54056295,-46.6328504,sao paulo,SP
1012,-23.5490082,-46.63452648,sao paulo,SP
1019,-23.55166352,-46.63125416,sao paulo,SP
1001,-23.55064182,-46.63440979,sao paulo,SP
1037,-23.54388307,-46.63807493,sao paulo,SP
1020,-23.55249553,-46.63206,sao paulo,SP
1041,-23.54371285,-46.64026323,sao paulo,SP
1033,-23.5403213,-46.63639482,sao paulo,SP
1050,-23.54985418,-46.6431394,sao paulo,SP
1025,-23.53992094,-46.62834793,sao paulo,SP
1004,-23.5501159,-46.63512161,sao paulo,SP
1044,-23.54447541,-46.64244052,sao paulo,SP
1050,-23.54872317,-46.641603,sao paulo,SP
1020,-23.55249447,-46.631394,sao paulo,SP
1033,-23.5368108,-46.63572116,sao paulo,SP
1026,-23.53889536,-46.635455,sao paulo,SP
1011,-23.54669049,-46.63544696,sao paulo,SP
1032,-23.53657099,-46.63417317,sao paulo,SP
1033,-23.53685925,-46.63579333,sao paulo,SP
1030,-23.53723949,-46.63298207,sao paulo,SP
1046,-23.54608113,-46.6448203,são paulo,SP
1009,-23.5469354,-46.63658793,sao paulo,SP
1042,-23.54415076,-46.64122339,sao paulo,SP
1046,-23.54608113,-46.6448203,sao paulo,SP
1046,-23.54531792,-46.6439748,sao paulo,SP
1023,-23.54260296,-46.63094284,sao paulo,SP
1033,-23.54079672,-46.63647343,sao paulo,SP
1046,-23.54549529,-46.6442248,sao paulo,SP
1046,-23.54536858,-46.64318283,sao paulo,SP
1036,-23.54282808,-46.63939931,sao paulo,SP
1021,-23.54033745,-46.63207307,sao paulo,SP
1049,-23.54530659,-46.63699457,sao paulo,SP
1043,-23.54578197,-46.64137663,sao paulo,SP
1003,-23.54904445,-46.63518261,sao paulo,SP
1030,-23.54203523,-46.63296206,sao paulo,SP
1025,-23.54041081,-46.63126494,sao paulo,SP
1026,-23.53961606,-46.6311875,sao paulo,SP
1021,-23.54183288,-46.63214268,sao paulo,SP
1023,-23.54184992,-46.63133769,sao paulo,SP
1050,-23.54872262,-46.64376241,sao paulo,SP
1019,-23.55166352,-46.63125416,sao paulo,SP
1014,-23.54708227,-46.63340844,sao paulo,SP
1042,-23.5447206,-46.64051557,sao paulo,SP
1009,-23.5469354,-46.63658793,sao paulo,SP
1045,-23.54275398,-46.64148203,sao paulo,SP
1036,-23.54282808,-46.63939931,são paulo,SP
1004,-23.54951309,-46.63471931,sao paulo,SP
